station_id,station_name,route_id,avg_crowd,avg_ridership,avg_train_frequency
MTA_214,182-183 Sts,"B,D",2.5798467884502063,10.786093105480258,13.862109605185621
MTA_215,Tremont Av,"B,D",2.693590411672746,12.347576862949452,13.842626367899948
MTA_216,174-175 Sts,"B,D",2.4441123729826657,9.355050806933653,13.84578601315003
MTA_217,170 St,"B,D",2.6303370786516855,11.66123595505618,13.869662921348315
MTA_218,167 St,"B,D",2.9864645370871683,16.985923118570653,13.827828911748782
MTA_22,Rector St,"R,W",2.4863523573200994,15.528535980148883,13.921588089330024
MTA_220,155 St,"B,D",2.2741277752605344,7.0847304032623475,13.90666062528319
MTA_221,21 St-Queensbridge,F,3.1146997929606624,23.843892339544514,13.841821946169773
MTA_222,Roosevelt Island,F,3.1220856295040273,29.65154726579059,13.983891479440441
MTA_223,Lexington Av/63 St,"F,Q",3.304708097928437,44.72015065913371,13.810922787193974
MTA_224,57 St,F,3.2377438060094885,46.37743806009489,13.707959936742224
MTA_225,47-50 Sts-Rockefeller Ctr,"B,D,F,M",3.687363834422658,98.89542483660131,13.72549019607843
MTA_228,23 St,"F,M",3.351051625239006,50.405736137667304,13.786615678776291
MTA_231,Grand St,"B,D",3.7583139984532097,77.25908739365816,13.79737045630317
MTA_232,2 Av,F,3.5920908092273893,67.64628341266935,13.737092640058586
MTA_234,East Broadway,F,3.5923423423423424,51.0472972972973,13.822822822822824
MTA_235,York St,F,3.1663235899547137,53.194318649650064,13.850967476327707
MTA_236,Bergen St,"F,G",2.9656009712666935,34.03399433427762,13.887494941319304
MTA_237,Carroll St,"F,G",2.912340425531915,29.83404255319149,13.943829787234042
MTA_238,Smith-9 Sts,"F,G",2.4756685664182374,12.109162647961421,13.886891714160456
MTA_240,7 Av,"F,G",2.9934959349593497,32.9130081300813,13.964227642276423
MTA_241,15 St-Prospect Park,"F,G",2.689495798319328,19.853781512605043,13.973109243697479
MTA_242,Fort Hamilton Pkwy,"F,G",2.616519174041298,17.542772861356934,14.083438685208597
MTA_243,Church Av,"F,G",3.3117469879518073,26.73343373493976,13.83433734939759
MTA_244,Ditmas Av,F,2.3521790341578326,9.517667844522968,13.93168433451119
MTA_245,18 Av,F,2.31369150779896,8.871750433275563,13.94107452339688
